NaN	NaN
11.838	57.793
11.871	57.807
11.904	57.828
11.911	57.842
11.918	57.845
11.928	57.849
11.964	57.859
11.978	57.866
11.998	57.863
12.024	57.863
NaN	NaN
11.891	57.691
11.951	57.705
11.998	57.726
NaN	NaN
11.998	57.726
12.004	57.768
12.018	57.796
12.018	57.828
12.018	57.849
12.024	57.863
NaN	NaN
12.024	57.863
12.044	57.895
12.058	57.919
12.084	57.944
12.111	57.965
12.131	57.965
12.131	57.982
12.138	58.007
12.151	58.035
12.151	58.056
12.138	58.063
12.151	58.067
12.158	58.102
12.131	58.119
12.124	58.133
12.144	58.147
12.131	58.193
12.158	58.200
12.158	58.218
12.224	58.246
12.278	58.281
12.318	58.316
12.358	58.337
12.391	58.344
12.371	58.372
12.364	58.379
